Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
5.,5400,0,0,0%
6.,5600,0,0,0%
7.,6100,0,0,0%
8.,7800,0,0,0%
9.,7000,0,0,0%
10.,19800,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt 10 282 0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,14500,0,0,0%
2.,8100,0,0,0%
3.,8600,0,0,0%
4.,6800,0,0,0%
5.,6500,0,0,0%
6.,13300,0,0,0%
7.,11800,0,0,0%
8.,13700,0,0,0%
9.,13200,0,0,0%
10.,22100,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_15.txt 10 291 0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,15700,0,0,0%
2.,27200,0,0,0%
3.,14500,0,0,0%
4.,9700,0,0,0%
5.,15000,0,0,0%
6.,14900,0,0,0%
7.,10300,0,0,0%
8.,10600,0,0,0%
9.,8000,0,0,0%
10.,13100,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_17.txt 10 39 0-11-13-2-9-10-1-12-15-14-5-6-3-4-7-8-16-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,16600,17,0.435897,43.5897%
2.,10800,17,0.435897,43.5897%
3.,12300,17,0.435897,43.5897%
4.,10100,17,0.435897,43.5897%
5.,10300,17,0.435897,43.5897%
6.,12300,17,0.435897,43.5897%
7.,10100,17,0.435897,43.5897%
8.,10800,17,0.435897,43.5897%
9.,15900,17,0.435897,43.5897%
10.,15500,17,0.435897,43.5897%
