Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_6_1.txt 100 132 0-1-2-3-4-5-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
5.,14500,0,0,0%
6.,9300,0,0,0%
7.,11700,0,0,0%
8.,14000,0,0,0%
9.,15300,0,0,0%
10.,20800,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_14.txt 10 282 0-10-3-5-7-9-13-11-2-6-4-8-1-12-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,22300,0,0,0%
2.,22800,0,0,0%
3.,18700,0,0,0%
4.,23400,0,0,0%
5.,17700,0,0,0%
6.,19800,0,0,0%
7.,20900,0,0,0%
8.,16700,0,0,0%
9.,24900,0,0,0%
10.,19100,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_15.txt 10 291 0-12-1-14-8-4-6-2-11-13-9-7-5-3-10-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,26800,0,0,0%
2.,41000,0,0,0%
3.,26900,0,0,0%
4.,20500,0,0,0%
5.,23800,0,0,0%
6.,28600,0,0,0%
7.,23500,0,0,0%
8.,29500,0,0,0%
9.,22000,0,0,0%
10.,120800,0,0,0%
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp_17.txt 10 39 0-11-13-2-9-10-1-12-15-14-5-6-3-4-7-8-16-0
No.,Execution Time (ns),Absolute error,Relative error,Relative error %
1.,33400,17,0.435897,43.5897%
2.,23100,17,0.435897,43.5897%
3.,34300,17,0.435897,43.5897%
4.,34200,17,0.435897,43.5897%
5.,24400,17,0.435897,43.5897%
6.,30400,17,0.435897,43.5897%
7.,39600,17,0.435897,43.5897%
8.,416600,17,0.435897,43.5897%
9.,23800,17,0.435897,43.5897%
10.,24300,17,0.435897,43.5897%
