Instance Name,Repetitions,Optimal Cost,Optimal Path
atsp7_random.txt,100,-1,None
No.,Cost,Execution Times [ms]
28.,372,4.25
29.,372,4.466
30.,372,4.348
31.,372,4.231
32.,372,4.247
33.,372,4.366
34.,372,4.452
35.,372,4.269
36.,372,4.268
37.,372,4.333
38.,372,4.272
39.,372,4.732
40.,372,4.272
41.,372,4.296
42.,372,4.308
43.,372,4.719
44.,372,4.354
45.,372,4.482
46.,372,4.446
47.,372,4.379
48.,372,4.269
49.,372,4.368
50.,372,4.351
51.,372,4.308
52.,372,4.241
53.,372,4.607
54.,372,4.284
55.,372,4.299
56.,372,4.311
57.,372,4.3
58.,372,4.327
59.,372,4.298
60.,372,4.27
61.,372,4.368
62.,372,4.257
63.,372,4.371
64.,372,4.404
65.,372,4.307
66.,372,4.25
67.,372,4.299
68.,372,4.364
69.,372,4.298
70.,372,4.234
71.,372,4.384
72.,372,4.271
73.,372,4.597
74.,372,4.315
75.,372,4.67
76.,372,4.248
77.,372,4.247
78.,372,4.315
79.,372,4.395
80.,372,4.337
81.,372,4.364
82.,372,4.267
83.,372,4.273
84.,372,4.25
85.,372,4.323
86.,372,4.29
87.,372,4.457
88.,372,4.298
89.,372,4.488
90.,372,4.356
91.,372,4.273
92.,372,4.236
93.,372,4.263
94.,372,4.237
95.,372,4.345
96.,372,4.463
97.,372,4.437
98.,372,4.267
99.,372,4.294
100.,372,4.319
Instance Name,Repetitions,Optimal Cost,Optimal Path
tsp11_random.txt,50,-1,None
No.,Cost,Execution Times [ms]
1.,362,572.947
2.,362,581.986
3.,362,579.332
4.,362,577.988
5.,362,569.75
6.,362,581.516
7.,362,594.773
8.,362,590.409
9.,362,577.042
10.,362,587.065
11.,362,579.085
12.,362,584.91
13.,362,583.292
14.,362,587.281
15.,362,577.654
16.,362,580.95
17.,362,581.996
18.,362,583.313
19.,362,595.492
20.,362,586.379
21.,362,575.267
22.,362,586.053
23.,362,598.98
24.,362,578.72
25.,362,578.228
26.,362,583.601
27.,362,584.585
28.,362,573.195
29.,362,570.041
30.,362,577.708
31.,362,572.03
32.,362,581.856
33.,362,583.385
34.,362,580.185
35.,362,571.607
36.,362,575.76
37.,362,588.884
38.,362,586.571
39.,362,581.958
40.,362,584.158
41.,362,575.906
42.,362,580.618
43.,362,582.87
44.,362,581.066
45.,362,588.974
46.,362,587.986
47.,362,591.342
48.,362,584.332
49.,362,577.076
50.,362,573.56
